epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,516.709,0.85945,0.86526,0.83893,0.99467,1,0.995,0.77075,0.80757,0.69589,0.80509,0.0013994,0.0013994,0.0013994
93,522.33,1.04966,0.92445,0.88224,0.99264,1,0.995,0.77119,0.84396,0.73315,0.80504,0.0013928,0.0013928,0.0013928
94,528.031,0.96862,0.90643,0.86007,0.99264,1,0.995,0.77119,0.84396,0.73315,0.80504,0.0013862,0.0013862,0.0013862
95,533.533,0.97748,0.80637,0.84402,0.99189,1,0.995,0.77566,0.85088,0.70045,0.81647,0.0013796,0.0013796,0.0013796
96,539.136,0.91864,0.86175,0.83227,0.98899,1,0.995,0.77649,0.82944,0.66656,0.82993,0.001373,0.001373,0.001373
97,544.836,0.8582,0.86539,0.75621,0.98899,1,0.995,0.77649,0.82944,0.66656,0.82993,0.0013664,0.0013664,0.0013664
98,550.43,0.82703,0.85969,0.78952,1,0.95697,0.99186,0.78468,0.8229,0.73562,0.85534,0.0013598,0.0013598,0.0013598
99,555.894,0.93854,0.85951,0.88632,1,0.95697,0.99186,0.78468,0.8229,0.73562,0.85534,0.0013532,0.0013532,0.0013532
100,561.529,0.92696,0.75828,0.85866,1,0.99553,0.995,0.80861,0.7513,0.66582,0.83479,0.0013466,0.0013466,0.0013466
101,567.162,0.79147,0.80033,0.77807,1,0.99553,0.995,0.80861,0.7513,0.66582,0.83479,0.00134,0.00134,0.00134
